Year,Round,Team 1(Ranking),Team 2(Ranking),Series Winner(Ranking),Upset?,Playoff Format
2019,Eastern Conference First Round,Milwaukee Bucks (1),Detroit Pistons (8),Milwaukee Bucks (1),No,2016 format
2019,Eastern Conference First Round,Toronto Raptors (2),Orlando Magic (7),Toronto Raptors (2),No,2016 format
2019,Eastern Conference First Round,Philadelphia 76ers (3),Brooklyn Nets (6),Philadelphia 76ers (3),No,2016 format
2019,Eastern Conference First Round,Boston Celtics (4),Indiana Pacers (5),Boston Celtics (4),No,2016 format
2019,Western Conference First Round,Golden State Warriors (1),Los Angeles Clippers (8),Golden State Warriors (1),No,2016 format
2019,Western Conference First Round,Denver Nuggets (2),San Antonio Spurs (7),Denver Nuggets (2),No,2016 format
2019,Western Conference First Round,Portland Trail Blazers (3),Oklahoma City Thunder (6),Portland Trail Blazers (3),No,2016 format
2019,Western Conference First Round,Houston Rockets (4),Utah Jazz (5),Houston Rockets (4),No,2016 format
2019,Eastern Conference Semifinals,Milwaukee Bucks (1),Boston Celtics (4),Milwaukee Bucks (1),No,2016 format
2019,Eastern Conference Semifinals,Toronto Raptors (2),Philadelphia 76ers (3),Toronto Raptors (2),No,2016 format
2019,Western Conference Semifinals,Golden State Warriors (1),Houston Rockets (4),Golden State Warriors (1),No,2016 format
2019,Western Conference Semifinals,Portland Trail Blazers (3),Denver Nuggets (2),Portland Trail Blazers (3),Yes,2016 format
2019,Eastern Conference Finals,Toronto Raptors (2),Milwaukee Bucks (1),Toronto Raptors (2),Yes,2016 format
2019,Western Conference Finals,Golden State Warriors (1),Portland Trail Blazers (3),Golden State Warriors (1),No,2016 format
2019,Finals,Toronto Raptors (2),Golden State Warriors (1),Toronto Raptors (2),Yes,2016 format
2018,Eastern Conference First Round,Toronto Raptors (1),Washington Wizards (8),Toronto Raptors (1),No,2016 format
2018,Eastern Conference First Round,Boston Celtics (2),Milwaukee Bucks (7),Boston Celtics (2),No,2016 format
2018,Eastern Conference First Round,Philadelphia 76ers (3),Miami Heat (6),Philadelphia 76ers (3),No,2016 format
2018,Eastern Conference First Round,Cleveland Cavaliers (4),Indiana Pacers (5),Cleveland Cavaliers (4),No,2016 format
2018,Western Conference First Round,Houston Rockets (1),Minnesota Timberwolves (8),Houston Rockets (1),No,2016 format
2018,Western Conference First Round,Golden State Warriors (2),San Antonio Spurs (7),Golden State Warriors (2),No,2016 format
2018,Western Conference First Round,New Orleans Pelicans (6),Portland Trail Blazers (3),New Orleans Pelicans (6),Yes,2016 format
2018,Western Conference First Round,Utah Jazz (5),Oklahoma City Thunder (4),Utah Jazz (5),Yes,2016 format
2018,Western Conference Semifinals,Golden State Warriors (2),New Orleans Pelicans (6),Golden State Warriors (2),No,2016 format
2018,Western Conference Semifinals,Houston Rockets (1),Utah Jazz (5),Houston Rockets (1),No,2016 format
2018,Eastern Conference Semifinals,Boston Celtics (2),Philadelphia 76ers (3),Boston Celtics (2),No,2016 format
2018,Eastern Conference Semifinals,Cleveland Cavaliers (4),Toronto Raptors (1),Cleveland Cavaliers (4),Yes,2016 format
2018,Eastern Conference Finals,Cleveland Cavaliers (4),Boston Celtics (2),Cleveland Cavaliers (4),Yes,2016 format
2018,Western Conference Finals,Golden State Warriors (2),Houston Rockets (1),Golden State Warriors (2),Yes,2016 format
2018,Finals,Golden State Warriors (2),Cleveland Cavaliers (4),Golden State Warriors (2),No,2016 format
2017,Eastern Conference First Round,Boston Celtics (1),Chicago Bulls (8),Boston Celtics (1),No,2016 format
2017,Eastern Conference First Round,Cleveland Cavaliers (2),Indiana Pacers (7),Cleveland Cavaliers (2),No,2016 format
2017,Eastern Conference First Round,Toronto Raptors (3),Milwaukee Bucks (6),Toronto Raptors (3),No,2016 format
2017,Eastern Conference First Round,Washington Wizards (4),Atlanta Hawks (5),Washington Wizards (4),No,2016 format
2017,Western Conference First Round,Golden State Warriors (1),Portland Trail Blazers (8),Golden State Warriors (1),No,2016 format
2017,Western Conference First Round,San Antonio Spurs (2),Memphis Grizzlies (7),San Antonio Spurs (2),No,2016 format
2017,Western Conference First Round,Houston Rockets (3),Oklahoma City Thunder (6),Houston Rockets (3),No,2016 format
2017,Western Conference First Round,Utah Jazz (5),Los Angeles Clippers (4),Utah Jazz (5),Yes,2016 format
2017,Eastern Conference Semifinals,Cleveland Cavaliers (2),Toronto Raptors (3),Cleveland Cavaliers (2),No,2016 format
2017,Eastern Conference Semifinals,Boston Celtics (1),Washington Wizards (4),Boston Celtics (1),No,2016 format
2017,Western Conference Semifinals,Golden State Warriors (1),Utah Jazz (5),Golden State Warriors (1),No,2016 format
2017,Western Conference Semifinals,San Antonio Spurs (2),Houston Rockets (3),San Antonio Spurs (2),No,2016 format
2017,Western Conference Finals,Golden State Warriors (1),San Antonio Spurs (2),Golden State Warriors (1),No,2016 format
2017,Eastern Conference Finals,Cleveland Cavaliers (2),Boston Celtics (1),Cleveland Cavaliers (2),Yes,2016 format
2017,Finals,Golden State Warriors (1),Cleveland Cavaliers (2),Golden State Warriors (1),No,2016 format
2016,Eastern Conference First Round,Cleveland Cavaliers (1),Detroit Pistons (8),Cleveland Cavaliers (1),No,2016 format
2016,Eastern Conference First Round,Toronto Raptors (2),Indiana Pacers (7),Toronto Raptors (2),No,2016 format
2016,Eastern Conference First Round,Miami Heat (3),Charlotte Hornets (6),Miami Heat (3),No,2016 format
2016,Eastern Conference First Round,Atlanta Hawks (4),Boston Celtics (5),Atlanta Hawks (4),No,2016 format
2016,Western Conference First Round,Golden State Warriors (1),Houston Rockets (8),Golden State Warriors (1),No,2016 format
2016,Western Conference First Round,San Antonio Spurs (2),Memphis Grizzlies (7),San Antonio Spurs (2),No,2016 format
2016,Western Conference First Round,Oklahoma City Thunder (3),Dallas Mavericks (6),Oklahoma City Thunder (3),No,2016 format
2016,Western Conference First Round,Portland Trail Blazers (5),Los Angeles Clippers (4),Portland Trail Blazers (5),Yes,2016 format
2016,Eastern Conference Semifinals,Cleveland Cavaliers (1),Atlanta Hawks (4),Cleveland Cavaliers (1),No,2016 format
2016,Eastern Conference Semifinals,Toronto Raptors (2),Miami Heat (3),Toronto Raptors (2),No,2016 format
2016,Western Conference Semifinals,Golden State Warriors (1),Portland Trail Blazers (5),Golden State Warriors (1),No,2016 format
2016,Western Conference Semifinals,Oklahoma City Thunder (3),San Antonio Spurs (2),Oklahoma City Thunder (3),Yes,2016 format
2016,Eastern Conference Finals,Cleveland Cavaliers (1),Toronto Raptors (2),Cleveland Cavaliers (1),No,2016 format
2016,Western Conference Finals,Golden State Warriors (1),Oklahoma City Thunder (3),Golden State Warriors (1),No,2016 format
2016,Finals,Cleveland Cavaliers (1),Golden State Warriors (1),Cleveland Cavaliers (1),No,2016 format
2015,Eastern Conference First Round,Atlanta Hawks (1),Brooklyn Nets (8),Atlanta Hawks (1),No,2007 format
2015,Eastern Conference First Round,Cleveland Cavaliers (2),Boston Celtics (7),Cleveland Cavaliers (2),No,2007 format
2015,Eastern Conference First Round,Chicago Bulls (3),Milwaukee Bucks (6),Chicago Bulls (3),No,2007 format
2015,Eastern Conference First Round,Washington Wizards (5),Toronto Raptors (4),Washington Wizards (5),Yes,2007 format
2015,Western Conference First Round,Golden State Warriors (1),New Orleans Pelicans (8),Golden State Warriors (1),No,2007 format
2015,Western Conference First Round,Houston Rockets (2),Dallas Mavericks (7),Houston Rockets (2),No,2007 format
2015,Western Conference First Round,Los Angeles Clippers (3),San Antonio Spurs (6),Los Angeles Clippers (3),No,2007 format
2015,Western Conference First Round,Memphis Grizzlies (5),Portland Trail Blazers (4),Memphis Grizzlies (5),Yes,2007 format
2015,Eastern Conference Semifinals,Cleveland Cavaliers (2),Chicago Bulls (3),Cleveland Cavaliers (2),No,2007 format
2015,Eastern Conference Semifinals,Atlanta Hawks (1),Washington Wizards (5),Atlanta Hawks (1),No,2007 format
2015,Western Conference Semifinals,Houston Rockets (2),Los Angeles Clippers (3),Houston Rockets (2),No,2007 format
2015,Western Conference Semifinals,Golden State Warriors (1),Memphis Grizzlies (5),Golden State Warriors (1),No,2007 format
2015,Eastern Conference Finals,Cleveland Cavaliers (2),Atlanta Hawks (1),Cleveland Cavaliers (2),Yes,2007 format
2015,Western Conference Finals,Golden State Warriors (1),Houston Rockets (2),Golden State Warriors (1),No,2007 format
2015,Finals,Golden State Warriors (1),Cleveland Cavaliers (2),Golden State Warriors (1),No,2007 format
2014,Eastern Conference First Round,Indiana Pacers (1),Atlanta Hawks (8),Indiana Pacers (1),No,2007 format
2014,Eastern Conference First Round,Miami Heat (2),Charlotte Bobcats (7),Miami Heat (2),No,2007 format
2014,Eastern Conference First Round,Brooklyn Nets (6),Toronto Raptors (3),Brooklyn Nets (6),Yes,2007 format
2014,Eastern Conference First Round,Washington Wizards (5),Chicago Bulls (4),Washington Wizards (5),Yes,2007 format
2014,Western Conference First Round,San Antonio Spurs (1),Dallas Mavericks (8),San Antonio Spurs (1),No,2007 format
2014,Western Conference First Round,Oklahoma City Thunder (2),Memphis Grizzlies (7),Oklahoma City Thunder (2),No,2007 format
2014,Western Conference First Round,Los Angeles Clippers (3),Golden State Warriors (6),Los Angeles Clippers (3),No,2007 format
2014,Western Conference First Round,Portland Trail Blazers (5),Houston Rockets (4),Portland Trail Blazers (5),Yes,2007 format
2014,Eastern Conference Semifinals,Indiana Pacers (1),Washington Wizards (5),Indiana Pacers (1),No,2007 format
2014,Eastern Conference Semifinals,Miami Heat (2),Brooklyn Nets (6),Miami Heat (2),No,2007 format
2014,Western Conference Semifinals,San Antonio Spurs (1),Portland Trail Blazers (5),San Antonio Spurs (1),No,2007 format
2014,Western Conference Semifinals,Oklahoma City Thunder (2),Los Angeles Clippers (3),Oklahoma City Thunder (2),No,2007 format
2014,Eastern Conference Finals,Miami Heat (2),Indiana Pacers (1),Miami Heat (2),Yes,2007 format
2014,Western Conference Finals,San Antonio Spurs (1),Oklahoma City Thunder (2),San Antonio Spurs (1),No,2007 format
2014,Finals,San Antonio Spurs (1),Miami Heat (2),San Antonio Spurs (1),No,2007 format
2013,Eastern Conference First Round,Miami Heat (1),Milwaukee Bucks (8),Miami Heat (1),No,2007 format
2013,Eastern Conference First Round,New York Knicks (2),Boston Celtics (7),New York Knicks (2),No,2007 format
2013,Eastern Conference First Round,Indiana Pacers (3),Atlanta Hawks (6),Indiana Pacers (3),No,2007 format
2013,Eastern Conference First Round,Chicago Bulls (5),Brooklyn Nets (4),Chicago Bulls (5),Yes,2007 format
2013,Western Conference First Round,Oklahoma City Thunder (1),Houston Rockets (8),Oklahoma City Thunder (1),No,2007 format
2013,Western Conference First Round,San Antonio Spurs (2),Los Angeles Lakers (7),San Antonio Spurs (2),No,2007 format
2013,Western Conference First Round,Golden State Warriors (6),Denver Nuggets (3),Golden State Warriors (6),Yes,2007 format
2013,Western Conference First Round,Memphis Grizzlies (5),Los Angeles Clippers (4),Memphis Grizzlies (5),Yes,2007 format
2013,Eastern Conference Semifinals,Miami Heat (1),Chicago Bulls (5),Miami Heat (1),No,2007 format
2013,Eastern Conference Semifinals,Indiana Pacers (3),New York Knicks (2),Indiana Pacers (3),Yes,2007 format
2013,Western Conference Semifinals,Memphis Grizzlies (5),Oklahoma City Thunder (1),Memphis Grizzlies (5),Yes,2007 format
2013,Western Conference Semifinals,San Antonio Spurs (2),Golden State Warriors (6),San Antonio Spurs (2),No,2007 format
2013,Eastern Conference Finals,Miami Heat (1),Indiana Pacers (3),Miami Heat (1),No,2007 format
2013,Western Conference Finals,San Antonio Spurs (2),Memphis Grizzlies (5),San Antonio Spurs (2),No,2007 format
2013,Finals,Miami Heat (1),San Antonio Spurs (2),Miami Heat (1),No,2007 format
2012,Eastern Conference First Round,Philadelphia 76ers (8),Chicago Bulls (1),Philadelphia 76ers (8),Yes,2007 format
2012,Eastern Conference First Round,Miami Heat (2),New York Knicks (7),Miami Heat (2),No,2007 format
2012,Eastern Conference First Round,Indiana Pacers (3),Orlando Magic (6),Indiana Pacers (3),No,2007 format
2012,Eastern Conference First Round,Boston Celtics (4),Atlanta Hawks (5),Boston Celtics (4),No,2007 format
2012,Western Conference First Round,San Antonio Spurs (1),Utah Jazz (8),San Antonio Spurs (1),No,2007 format
2012,Western Conference First Round,Oklahoma City Thunder (2),Dallas Mavericks (7),Oklahoma City Thunder (2),No,2007 format
2012,Western Conference First Round,Los Angeles Lakers (3),Denver Nuggets (6),Los Angeles Lakers (3),No,2007 format
2012,Western Conference First Round,Los Angeles Clippers (5),Memphis Grizzlies (4),Los Angeles Clippers (5),Yes,2007 format
2012,Eastern Conference Semifinals,Miami Heat (2),Indiana Pacers (3),Miami Heat (2),No,2007 format
2012,Eastern Conference Semifinals,Boston Celtics (4),Philadelphia 76ers (8),Boston Celtics (4),No,2007 format
2012,Western Conference Semifinals,San Antonio Spurs (1),Los Angeles Clippers (5),San Antonio Spurs (1),No,2007 format
2012,Western Conference Semifinals,Oklahoma City Thunder (2),Los Angeles Lakers (3),Oklahoma City Thunder (2),No,2007 format
2012,Western Conference Finals,Oklahoma City Thunder (2),San Antonio Spurs (1),Oklahoma City Thunder (2),Yes,2007 format
2012,Eastern Conference Finals,Miami Heat (2),Boston Celtics (4),Miami Heat (2),No,2007 format
2012,Finals,Miami Heat (2),Oklahoma City Thunder (2),Miami Heat (2),No,2007 format
2011,Eastern Conference First Round,Chicago Bulls (1),Indiana Pacers (8),Chicago Bulls (1),No,2007 format
2011,Eastern Conference First Round,Miami Heat (2),Philadelphia 76ers (7),Miami Heat (2),No,2007 format
2011,Eastern Conference First Round,Boston Celtics (3),New York Knicks (6),Boston Celtics (3),No,2007 format
2011,Eastern Conference First Round,Atlanta Hawks (5),Orlando Magic (4),Atlanta Hawks (5),Yes,2007 format
